term,estimate,se,z,p,odds_ratio,or_lower,or_upper
Intercept,-0.15964803877242859,0.13503010858252787,-1.1823143774994056,0.23708098284046641,0.8524437633268187,0.6542229708592544,1.1107227994156117
C(domain)[T.medical],0.10548756754588386,0.18913963450197344,0.5577232282574979,0.5770333936151584,1.1112522888438783,0.7670324919870002,1.609946987071947
C(domain)[T.software],0.18074448671017662,0.20317418850000193,0.8896035861867114,0.3736787799231758,1.1981090074053231,0.8045461714188685,1.784192436208147
centered_self_direction,0.18003081938509688,0.09778118570331948,1.8411601177688028,0.06559809791706595,1.1972542611933539,0.9884469503861605,1.4501716712117374
centered_power,0.19008489091659872,0.08888021185183331,2.1386637920426814,0.032462907041445145,1.2093522563213257,1.0160064277755394,1.4394917589956333
centered_universalism,0.27223483138103216,0.12417831372143545,2.1922896456117638,0.028358598936280403,1.3128952741239994,1.0292653923626962,1.674683724535188
centered_achievement,0.17776795713779298,0.11599397982043305,1.532561926170569,0.12538382857711997,1.1945481027119578,0.9516287932281133,1.4994766655307445
centered_security,0.2598200438385432,0.12587317258577832,2.0641415362871274,0.039004298742641226,1.2966967171044725,1.0131949202585788,1.6595250751162456
centered_stimulation,0.09005073098187903,0.11979316040353151,0.7517184677200013,0.45222038203710246,1.0942297936489946,0.8652438853497296,1.3838165881116393
centered_conformity,0.10528834593238852,0.11568279665901483,0.910146961978583,0.36274501073337684,1.1110309254208157,0.8856353911149474,1.3937899609989972
centered_tradition,0.19672494935349227,0.09934149733656363,1.980289754310817,0.04767097940622187,1.2174091454789169,1.0020176472903777,1.4791007239278782
centered_benevolence,0.13119001008368644,0.10322847610280204,1.2708703551240879,0.20377477429214674,1.1401844072654232,0.9313335426556776,1.3958699252517246
is_modified,0.5692502184629623,0.16521967592776662,3.445414205459622,0.0005701849372811602,1.7669417343572436,1.2781575841614752,2.442643326066559
