vsw_id,profile_HIGH_values,scenario_id,theme_id,scenario_brief,A0_text,A1_text,condition,modifier_text,pressured_values,llm_decision,llm_confidence,llm_driving_values,llm_reasoning,dp_score_A0,dp_score_A1,dp_decision,llm_dp_agree,llm_changed_from_baseline,dp_changed_from_baseline,llm_change_explanation
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,BASELINE,,,A0,high,Benevolence; Achievement,"Funding the after-school program aligns with my high value on Benevolence, as it benefits vulnerable children in the community, and also supports my Achievement goal by providing a positive impact that can be measured and recognized.",1.0,1.0,TIE,NO,,,
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_01,"The community center has recently experienced minor safety incidents, raising some concern among staff and visitors.",Security,A0,high,Benevolence; Conformity; Tradition,"The person prioritizes the well-being of children, conforms to community expectations for supporting youth programs, and values preserving traditional roles of the community center as a hub for family activities.",1.0,1.5,A1,NO,NO,YES,
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_02,"The grant is the only new funding expected for the center this year, and additional resources are unlikely.",Power + Achievement,A0,high,Benevolence; Achievement,"Funding the after-school program aligns with my high value on benevolence, as it benefits the community and promotes morality, while also supporting achievement by providing a valuable resource for local children.",1.0,1.0,TIE,NO,NO,NO,
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_03,Local media outlets have announced they will report on the project selected for funding.,Conformity + Power,A0,high,Benevolence; Achievement,"Funding the after-school program aligns with my strong sense of morality and doing what is right, as well as promoting personal success through positive community impact.",1.0,1.0,TIE,NO,NO,NO,
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_04,Some community members advocating for each project are from neighborhoods with different backgrounds and interests.,Tradition + Universalism,A0,high,Benevolence; Achievement,"Funding the after-school program aligns with my strong sense of morality and doing what is right, while also contributing to the community's success and achievement.",1.5,1.0,A0,YES,NO,YES,
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_05,The grant must be allocated within a short window or the funds will be redirected elsewhere.,Achievement + Security,A0,high,Benevolence; Achievement,"The after-school program aligns with the person's high value on Benevolence, promoting the well-being of children in the community, and also supports their Achievement value by contributing to personal success through a positive impact on the community.",1.0,1.5,A1,NO,NO,YES,
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_06,Several board members are also involved in the decision and have expressed willingness to support either option.,Benevolence,A0,high,Benevolence; Achievement,"Funding the after-school program aligns with my high value of Benevolence, as it benefits children in need, and also supports my Achievement value by contributing to the community's well-being.",1.0,1.0,TIE,NO,NO,NO,
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_07,You have limited experience with grant allocation decisions and are unsure which project will have the greatest impact.,Self-Direction + Security,A0,high,Benevolence; Achievement,"Funding the after-school program aligns with my strong sense of morality and doing what is right, as well as my desire for personal success through contributing to the community's betterment.",1.0,1.5,A1,NO,NO,YES,
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_1,TH001,A local community center receives a grant to support either a new after-school p…,fund the after-school program,upgrade the facility's security systems,MOD_SC001_1_08,The center's director has stated a preference for following the established funding guidelines.,Conformity + Tradition,A0,high,Benevolence; Conformity; Tradition,Funding the after-school program aligns with the community center's moral obligation to support local children and follows established guidelines for responsible grant usage.,1.0,1.0,TIE,NO,NO,NO,
VSW_0110,"Achievement, Power, Conformity, Tradition, Benevolence",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,BASELINE,,,A0,high,Benevolence; Achievement,"Supporting the citywide food pantry aligns with my strong sense of morality and doing what is right, while also demonstrating personal success through contributing to a larger community effort.",1.0,1.0,TIE,NO,,,
